case,parameters,reported_seed42_error,metric
H1,4224,0.008288740180432796,relative_l2
H2,2048,0.0004163963603787124,relative_l2
H3,768,0.00044926145346835256,relative_l2
H4,512,2.6213019737042487e-05,relative_l2
A1,7296,0.02281307801604271,relative_l2
A2,1536,2.4367366222577402e-06,relative_l2
A3,1792,0.004231620579957962,relative_l2
A4,6752,0.0016455118311569095,relative_l2
S1,11154,0.00445684464648366,scalar_flux_relative_l2
S2,36128,0.00660077715292573,scalar_flux_relative_l2
S3,11154,0.01142058428376913,scalar_flux_relative_l2
S4,11250,0.04789044335484505,scalar_flux_relative_l2
K1,704,0.001110703800804913,relative_l2
K2,896,0.0004747995699290186,relative_l2
K3,2240,0.01069432869553566,relative_l2
K4,3008,0.021721014752984047,relative_l2
